"zip","city","county","pop"
"15216","Pittsburgh","Allegheny","22580"
"17036","Hummelstown","Dauphin","22390"
"19150","Philadelphia","Philadelphia","22299"
"19023","Darby","Delaware","22088"
"19006","Huntingdon Valley","Montgomery","21899"
"18411","Clarks Summit","Lackawanna","21878"
"17545","Manheim","Lancaster","21792"
"19122","Philadelphia","Philadelphia","21666"
"17078","Palmyra","Lebanon","21646"
"18505","Scranton","Lackawanna","21581"
"19010","Bryn Mawr","Delaware","21572"
"15205","Pittsburgh","Allegheny","21475"
"17356","Red Lion","York","21302"
"18914","Chalfont","Bucks","21182"
"15143","Sewickley","Allegheny","21150"
"15132","Mc Keesport","Allegheny","21136"
"17044","Lewistown","Mifflin","20986"
"19007","Bristol","Bucks","20944"
"19008","Broomall","Delaware","20934"
"19040","Hatboro","Montgomery","20901"
"19014","Aston","Delaware","20900"
"17225","Greencastle","Franklin","20844"
"15241","Pittsburgh","Allegheny","20732"
"18976","Warrington","Bucks","20681"
"15239","Pittsburgh","Allegheny","20603"
"18504","Scranton","Lackawanna","20525"
"18020","Bethlehem","Northampton","20393"
"19061","Marcus Hook","Delaware","20248"
"17104","Harrisburg","Dauphin","20208"
"17552","Mount Joy","Lancaster","20071"
"19027","Elkins Park","Montgomery","20068"
"19605","Reading","Berks","19833"
"19073","Newtown Square","Delaware","19763"
"15122","West Mifflin","Allegheny","19745"
"15905","Johnstown","Cambria","19739"
"15106","Carnegie","Allegheny","19667"
"17837","Lewisburg","Union","19660"
"15202","Pittsburgh","Allegheny","19569"
"18603","Berwick","Columbia","19357"
"19440","Hatfield","Montgomery","19350"
"18235","Lehighton","Carbon","19188"
"15425","Connellsville","Fayette","19136"
"15801","Du Bois","Clearfield","19018"
"19422","Blue Bell","Montgomery","18852"
"19342","Glen Mills","Delaware","18843"
"15644","Jeannette","Westmoreland","18537"
"15120","Homestead","Allegheny","18512"
"18612","Dallas","Luzerne","18432"
"17821","Danville","Montour","18402"
"17745","Lock Haven","Clinton","18397"
"19090","Willow Grove","Montgomery","18357"
"17019","Dillsburg","York","18237"
"18013","Bangor","Northampton","18037"
"17512","Columbia","Lancaster","18027"
"16652","Huntingdon","Huntingdon","17916"
"18067","Northampton","Northampton","17879"
"18109","Allentown","Lehigh","17794"
"17033","Hershey","Dauphin","17751"
"15220","Pittsburgh","Allegheny","17704"
"15228","Pittsburgh","Allegheny","17691"
"19046","Jenkintown","Montgomery","17660"
"16365","Warren","Warren","17639"
"18049","Emmaus","Lehigh","17578"
"19341","Exton","Chester","17572"
"19465","Pottstown","Chester","17473"
"19057","Levittown","Bucks","17449"
"18466","Tobyhanna","Monroe","17421"
"15147","Verona","Allegheny","17374"
"19123","Philadelphia","Philadelphia","17351"
"19363","Oxford","Chester","17274"
"19428","Conshohocken","Montgomery","17222"
"19001","Abington","Montgomery","17139"
"16701","Bradford","Mckean","17126"
"17401","York","York","17100"
"19512","Boyertown","Berks","17048"
"16117","Ellwood City","Lawrence","16999"
"16125","Greenville","Mercer","16974"
"16201","Kittanning","Armstrong","16971"
"18640","Pittston","Luzerne","16850"
"19015","Brookhaven","Delaware","16809"
"17517","Denver","Lancaster","16745"
"16046","Mars","Butler","16699"
"17025","Enola","Cumberland","16651"
"19525","Gilbertsville","Montgomery","16598"
"18040","Easton","Northampton","16586"
"19602","Reading","Berks","16582"
"15219","Pittsburgh","Allegheny","16545"
"19473","Schwenksville","Montgomery","16426"
"15025","Clairton","Allegheny","16298"
"15501","Somerset","Somerset","16254"
"19044","Horsham","Montgomery","16206"
"16508","Erie","Erie","16182"
"19054","Levittown","Bucks","16180"
"15057","Mc Donald","Washington","16167"
"16148","Hermitage","Mercer","16120"
"17070","New Cumberland","Cumberland","16119"
"19530","Kutztown","Berks","16116"
"16503","Erie","Erie","16089"
"19425","Chester Springs","Chester","15950"
"15904","Johnstown","Cambria","15943"
"15017","Bridgeville","Allegheny","15934"
"16505","Erie","Erie","15911"
"18707","Mountain Top","Luzerne","15891"
"18706","Wilkes Barre","Luzerne","15885"
"19462","Plymouth Meeting","Montgomery","15811"
"19508","Birdsboro","Berks","15796"
"15666","Mount Pleasant","Westmoreland","15795"
"16502","Erie","Erie","15752"
"17801","Sunbury","Northumberland","15701"
"19126","Philadelphia","Philadelphia","15656"
"16323","Franklin","Venango","15624"
"16127","Grove City","Mercer","15599"
"16504","Erie","Erie","15572"
"19518","Douglassville","Berks","15566"
"18969","Telford","Montgomery","15435"
"16301","Oil City","Venango","15418"
"19610","Reading","Berks","15417"
"17870","Selinsgrove","Snyder","15407"
"17067","Myerstown","Lebanon","15389"
"16002","Butler","Butler","15257"
"19056","Levittown","Bucks","15249"
"15009","Beaver","Beaver","15241"
"15012","Belle Vernon","Fayette","15220"
"16105","New Castle","Lawrence","15016"
"19390","West Grove","Chester","14684"
"18705","Wilkes Barre","Luzerne","14683"
"17557","New Holland","Lancaster","14668"
"16648","Hollidaysburg","Blair","14648"
"16057","Slippery Rock","Butler","14624"
"19107","Philadelphia","Philadelphia","14526"
"15370","Waynesburg","Greene","14440"
"15767","Punxsutawney","Jefferson","14374"
"18337","Milford","Pike","14226"
"18938","New Hope","Bucks","14156"
"18964","Souderton","Montgomery","14092"
"15116","Glenshaw","Allegheny","14061"
"19522","Fleetwood","Berks","14034"
"19055","Levittown","Bucks","14032"
"18036","Coopersburg","Lehigh","13942"
"18509","Scranton","Lackawanna","13851"
"18444","Moscow","Lackawanna","13817"
"15214","Pittsburgh","Allegheny","13713"
"19096","Wynnewood","Montgomery","13695"
"15229","Pittsburgh","Allegheny","13575"
"15613","Apollo","Westmoreland","13536"
"15226","Pittsburgh","Allegheny","13511"
"15234","Pittsburgh","Allegheny","13480"
"15218","Pittsburgh","Allegheny","13443"
"19003","Ardmore","Delaware","13427"
"18510","Scranton","Lackawanna","13375"
"16830","Clearfield","Clearfield","13264"
"16146","Sharon","Mercer","13242"
"16686","Tyrone","Blair","13198"
"18634","Nanticoke","Luzerne","13148"
"18407","Carbondale","Lackawanna","13119"
"17362","Spring Grove","York","13040"
"17350","New Oxford","Adams","13019"
"19153","Philadelphia","Philadelphia","13006"
"15243","Pittsburgh","Allegheny","12952"
"15238","Pittsburgh","Allegheny","12944"
"19036","Glenolden","Delaware","12894"
"18353","Saylorsburg","Monroe","12730"
"15066","New Brighton","Beaver","12654"
"18436","Lake Ariel","Wayne","12610"
"18508","Scranton","Lackawanna","12606"
"15215","Pittsburgh","Allegheny","12594"
"19106","Philadelphia","Philadelphia","12592"
"15857","Saint Marys","Elk","12567"
"15201","Pittsburgh","Allegheny","12543"
"18643","Pittston","Luzerne","12478"
"16635","Duncansville","Blair","12477"
"17566","Quarryville","Lancaster","12468"
"17740","Jersey Shore","Lycoming","12407"
"17754","Montoursville","Lycoming","12404"
"16137","Mercer","Mercer","12363"
"15061","Monaca","Beaver","12328"
"17103","Harrisburg","Dauphin","12317"
"16428","North East","Erie","12279"
"17241","Newville","Cumberland","12127"
