location,date,vaccine,total_vaccinations,Country
Cyprus,2021-10-01,Oxford/AstraZeneca,253947,Cyprus
Latvia,2021-10-01,Moderna,246637,Latvia
Czechia,2021-10-01,Johnson&Johnson,236701,Czechia
Estonia,2021-10-01,Oxford/AstraZeneca,236265,Estonia
Ireland,2021-10-01,Johnson&Johnson,235618,Ireland
Malta,2021-10-01,Oxford/AstraZeneca,225251,Malta
Lithuania,2021-10-01,Johnson&Johnson,197964,Lithuania
Bulgaria,2021-10-01,Johnson&Johnson,195779,Bulgaria
Slovenia,2021-10-01,Moderna,187497,Slovenia
Denmark,2021-10-01,Oxford/AstraZeneca,154907,Denmark
Hungary,2021-10-01,Johnson&Johnson,153817,Hungary
Norway,2021-10-01,Oxford/AstraZeneca,145515,Norway
Estonia,2021-10-01,Moderna,139333,Estonia
Latvia,2021-10-01,Johnson&Johnson,136981,Latvia
Slovenia,2021-10-01,Johnson&Johnson,121267,Slovenia
Iceland,2021-10-01,Oxford/AstraZeneca,115479,Iceland
Luxembourg,2021-10-01,Oxford/AstraZeneca,105290,Luxembourg
Croatia,2021-10-01,Johnson&Johnson,97048,Croatia
Uruguay,2021-10-01,Oxford/AstraZeneca,86603,Uruguay
Slovakia,2021-10-01,Johnson&Johnson,86042,Slovakia
Cyprus,2021-10-01,Moderna,85831,Cyprus
Luxembourg,2021-10-01,Moderna,69853,Luxembourg
Iceland,2021-10-01,Moderna,62528,Iceland
Iceland,2021-10-01,Johnson&Johnson,53874,Iceland
Estonia,2021-10-01,Johnson&Johnson,51224,Estonia
Denmark,2021-10-01,Johnson&Johnson,48330,Denmark
Malta,2021-10-01,Moderna,42940,Malta
Luxembourg,2021-10-01,Johnson&Johnson,37543,Luxembourg
Liechtenstein,2021-10-01,Moderna,30928,Liechtenstein
Malta,2021-10-01,Johnson&Johnson,30697,Malta
Cyprus,2021-10-01,Johnson&Johnson,20704,Cyprus
Liechtenstein,2021-10-01,Pfizer/BioNTech,13705,Liechtenstein
Norway,2021-10-01,Johnson&Johnson,5076,Norway
Finland,2021-10-01,Johnson&Johnson,0,Finland
Switzerland,2021-10-01,Johnson&Johnson,0,Switzerland
