year,region,wine,beer,vodka,champagne,brandy,npg,birth_rate,death_rate,gdw,urbanization,total liters
2013,Oryol Oblast,5.9,73.2,6.7,1.7,0.5,-5.2,11.0,16.2,71.74,65.8,88.00000000000001
2013,Penza Oblast,6.3,128.5,6.0,1.0,0.4,-4.1,10.6,14.7,70.91,67.7,142.20000000000002
2013,Perm Krai,5.2,74.2,8.7,1.3,0.8,0.7,14.7,14.0,69.11,75.1,90.2
2013,Primorsky Krai,5.9,67.5,11.4,2.3,0.9,-0.8,12.7,13.5,62.38,76.6,88.00000000000001
2013,Pskov Oblast,7.3,40.5,8.0,1.0,0.6,-7.6,11.0,18.6,73.57,70.3,57.4
2013,Republic of Adygea,2.9,37.0,4.7,1.2,0.7,-0.6,12.5,13.1,72.36,47.0,46.50000000000001
2013,Republic of Bashkortostan,4.0,90.3,10.8,0.8,0.6,1.5,14.6,13.1,66.52,61.1,106.49999999999999
2013,Republic of Buryatia,4.3,40.0,10.5,0.7,0.3,5.8,17.6,11.8,66.6,59.0,55.8
2013,Republic of Crimea,,,,,,,,,,,
2013,Republic of Dagestan,1.0,2.1,4.8,0.3,0.3,13.3,18.8,5.5,61.19,45.1,8.500000000000002
2013,Republic of Ingushetia,,,,,,17.7,21.2,3.5,68.15,39.9,
2013,Republic of Kalmykia,2.2,13.6,4.3,0.3,0.4,4.7,14.6,9.9,63.1,44.7,20.8
2013,Republic of Karelia,10.8,58.3,15.4,1.7,1.3,-2.7,11.9,14.6,68.99,78.8,87.5
2013,Republic of Khakassia,3.3,68.6,7.1,0.9,0.5,2.6,15.7,13.1,68.29,67.7,80.39999999999999
2013,Republic of Mordovia,6.3,61.1,9.6,1.3,0.5,-4.7,10.1,14.8,64.82,61.3,78.8
2013,Republic of North Ossetia-Alania,1.3,20.7,2.2,0.5,0.2,4.8,15.3,10.5,70.49,63.9,24.9
2013,Republic of Tatarstan,3.8,79.9,10.7,1.0,0.6,2.6,14.7,12.1,65.66,75.9,96.0
2013,Rostov Oblast,4.5,52.6,4.6,1.5,0.6,-2.1,11.7,13.8,67.82,67.7,63.800000000000004
2013,Ryazan Oblast,5.6,66.0,7.5,1.6,0.6,-5.0,10.8,15.8,73.03,71.0,81.29999999999998
2013,Saint Petersburg,6.8,44.2,7.2,2.6,1.0,0.7,12.6,11.9,62.65,100.0,61.800000000000004
2013,Sakha (Yakutia) Republic,4.7,55.5,10.7,2.0,0.7,8.8,17.5,8.7,60.45,64.9,73.60000000000001
2013,Sakhalin Oblast,7.2,70.9,15.0,3.8,1.4,-0.2,12.9,13.1,61.94,80.8,98.30000000000001
2013,Samara Oblast,5.7,55.4,6.9,1.9,0.7,-2.0,12.3,14.3,66.81,80.3,70.60000000000001
2013,Saratov Oblast,4.8,40.3,5.2,1.2,0.6,-3.0,11.4,14.4,68.93,74.8,52.1
2013,Sevastopol,,,,,,,,,,,
2013,Smolensk Oblast,7.5,56.1,11.2,2.2,1.0,-5.8,10.6,16.4,66.57,72.5,78.0
2013,Stavropol Krai,4.5,60.0,4.5,1.9,0.9,0.9,12.6,11.7,66.2,57.6,71.80000000000001
2013,Sverdlovsk Oblast,7.1,91.7,11.8,2.0,1.0,0.7,14.4,13.7,68.65,84.1,113.6
2013,Tambov Oblast,5.2,82.4,6.6,1.1,0.5,-6.6,9.5,16.1,71.5,59.1,95.8
2013,Tomsk Oblast,7.6,44.6,11.2,1.5,0.8,2.1,13.8,11.7,60.9,71.2,65.7
2013,Tula Oblast,4.8,46.6,7.0,1.5,0.6,-7.5,9.9,17.4,72.94,78.8,60.5
2013,Tuva Republic,2.7,90.0,10.3,0.7,0.4,15.2,26.1,10.9,72.85,53.9,104.10000000000001
2013,Tver Oblast,7.1,64.5,12.5,1.4,1.0,-6.7,11.3,18.0,73.5,74.9,86.5
2013,Tyumen Oblast,6.7,83.5,11.5,2.1,1.3,5.1,16.6,11.5,63.1,62.1,105.1
2013,Udmurt Republic,5.7,82.8,10.9,1.0,0.7,1.9,14.6,12.7,67.71,65.0,101.10000000000001
2013,Ulyanovsk Oblast,5.3,55.2,7.4,1.7,0.5,-2.8,11.6,14.4,67.47,74.0,70.10000000000001
2013,Vladimir Oblast,7.2,45.8,10.9,1.6,0.8,-5.6,11.1,16.7,72.12,77.6,66.3
2013,Volgograd Oblast,4.6,78.4,4.7,1.7,0.5,-2.0,11.5,13.5,69.41,76.3,89.9
2013,Vologda Oblast,8.2,92.0,12.9,1.3,0.7,-1.2,13.8,15.0,69.07,71.3,115.10000000000001
2013,Voronezh Oblast,7.0,85.2,8.0,2.3,0.5,-4.8,10.7,15.5,69.44,66.3,103.0
2013,Yamalo-Nenets Autonomous Okrug,5.8,97.7,12.7,2.5,1.7,11.5,16.6,5.1,43.74,83.8,120.4
2013,Yaroslavl Oblast,7.6,79.3,11.1,1.7,1.0,-3.7,12.1,15.8,72.87,81.9,100.69999999999999
2013,Zabaykalsky Krai,6.4,64.5,12.7,1.1,0.4,3.4,15.9,12.5,65.13,66.8,85.10000000000001
2014,Altai Krai,4.1,52.5,5.5,1.0,0.3,-1.0,13.2,14.2,74.16,55.8,63.4
2014,Altai Republic,4.2,39.0,8.8,1.4,0.4,9.6,20.7,11.1,76.88,29.0,53.8
2014,Amur Oblast,6.1,64.0,8.3,1.8,0.6,-0.2,13.7,13.9,68.21,67.1,80.79999999999998
2014,Arkhangelsk Oblast,10.7,64.4,12.8,2.0,1.0,-0.9,12.5,13.4,71.83,76.7,90.9
2014,Astrakhan Oblast,5.1,62.9,5.8,1.0,0.7,2.3,14.9,12.6,69.58,66.7,75.5
2014,Belgorod Oblast,3.0,55.5,5.2,1.2,0.3,-2.5,11.5,14.0,70.11,66.8,65.2
2014,Bryansk Oblast,8.5,46.9,6.4,1.4,0.5,-5.0,11.0,16.0,72.0,69.5,63.699999999999996
2014,Chechen Republic,,4.9,,,,19.2,24.3,5.1,77.55,34.8,
2014,Chelyabinsk Oblast,5.9,53.9,5.8,1.7,0.6,0.4,14.2,13.8,72.02,82.4,67.89999999999999
2014,Chukotka Autonomous Okrug,9.6,32.7,11.3,2.6,1.5,2.8,13.7,10.9,51.91,67.5,57.70000000000001
2014,Chuvash Republic,6.5,40.2,9.4,0.7,0.5,0.6,13.9,13.3,68.22,60.2,57.300000000000004
2014,Irkutsk Oblast,6.2,73.2,7.7,1.5,0.6,1.6,15.3,13.7,70.26,79.4,89.2
2014,Ivanovo Oblast,8.2,71.6,7.0,1.0,0.6,-5.3,11.1,16.4,73.65,81.1,88.39999999999999
2014,Jewish Autonomous Oblast,5.3,56.1,8.8,1.5,0.4,-1.1,13.9,15.0,69.06,67.9,72.10000000000001
2014,Kabardino-Balkar Republic,0.5,17.1,0.6,0.3,0.1,6.8,15.6,8.8,64.15,52.3,18.600000000000005
2014,Kaliningrad Oblast,6.9,36.9,7.7,1.5,1.2,-0.7,12.6,13.3,66.43,77.6,54.2
2014,Kaluga Oblast,7.7,46.1,9.0,1.8,0.9,-3.5,11.8,15.3,71.58,75.9,65.50000000000001
2014,Kamchatka Krai,6.4,76.0,13.0,4.0,1.7,1.7,13.2,11.5,57.23,77.4,101.10000000000001
2014,Karachay-Cherkess Republic,1.2,28.1,0.9,0.4,0.2,3.8,13.5,9.7,67.56,42.7,30.799999999999997
2014,Kemerovo Oblast,4.5,72.1,7.4,1.2,0.5,-1.4,13.2,14.6,72.03,85.6,85.7
2014,Khabarovsk Krai,5.7,90.9,12.0,3.0,0.9,0.7,14.0,13.3,63.05,81.7,112.50000000000001
2014,Khanty–Mansi Autonomous Okrug – Yugra,4.4,69.9,10.9,1.8,1.4,10.8,17.2,6.4,52.35,92.0,88.40000000000002
2014,Kirov Oblast,8.5,73.8,10.6,1.2,0.6,-2.3,12.8,15.1,75.54,75.1,94.69999999999999
2014,Komi Republic,10.4,65.0,14.3,2.0,1.3,2.0,14.2,12.2,63.22,77.5,93.0
2014,Kostroma Oblast,7.3,52.0,9.0,1.1,0.5,-3.2,12.6,15.8,75.18,70.8,69.89999999999999
2014,Krasnodar Krai,5.6,66.8,4.2,1.7,0.7,0.6,13.5,12.9,72.17,53.9,79.0
2014,Krasnoyarsk Krai,4.8,61.3,6.7,1.6,0.8,1.7,14.4,12.7,64.92,76.4,75.19999999999999
2014,Kurgan Oblast,5.0,70.0,4.2,1.3,0.4,-2.3,13.6,15.9,80.89,61.1,80.9
2014,Kursk Oblast,5.7,44.8,4.3,1.6,0.5,-4.9,11.7,16.6,74.24,66.5,56.9
2014,Leningrad Oblast,9.2,49.7,10.6,2.0,1.3,-5.4,9.1,14.5,69.23,64.9,72.8
2014,Lipetsk Oblast,6.4,56.8,5.0,1.2,0.4,-3.9,11.5,15.4,73.09,64.1,69.8
2014,Magadan Oblast,7.7,63.5,16.5,4.3,2.0,0.3,12.2,11.9,58.62,95.3,94.0
2014,Mari El Republic,8.6,34.6,9.3,1.1,0.6,1.0,14.7,13.7,68.53,64.8,54.2
2014,Moscow,8.5,82.9,15.7,5.1,1.7,1.6,11.3,9.7,63.49,98.9,113.9
2014,Moscow Oblast,8.2,97.7,10.1,2.4,1.3,-1.3,12.5,13.8,65.27,81.6,119.7
2014,Murmansk Oblast,8.0,56.3,11.3,2.7,1.7,0.3,11.7,11.4,59.94,92.7,80.0
2014,Nenets Autonomous Okrug,11.4,49.5,11.5,2.1,1.0,7.9,16.8,8.9,65.33,70.8,75.5
2014,Nizhny Novgorod Oblast,7.8,56.3,7.0,1.0,0.7,-4.0,11.9,15.9,71.33,79.2,72.8
2014,Novgorod Oblast,12.0,53.7,10.5,2.0,1.0,-5.4,12.0,17.4,77.87,70.5,79.2
2014,Novosibirsk Oblast,6.0,67.5,6.5,1.9,0.6,0.7,14.0,13.3,66.89,78.2,82.5
2014,Omsk Oblast,4.9,79.7,4.3,1.5,0.5,1.9,15.1,13.2,67.57,71.9,90.9
2014,Orenburg Oblast,4.0,60.5,3.7,1.2,0.3,0.4,14.6,14.2,71.11,59.8,69.7
2014,Oryol Oblast,6.9,54.4,4.9,1.7,0.5,-5.4,11.0,16.4,74.26,65.9,68.4
2014,Penza Oblast,7.2,100.7,4.9,0.9,0.4,-4.0,10.8,14.8,73.41,68.0,114.10000000000002
2014,Perm Krai,6.5,52.9,8.5,1.3,0.9,0.7,14.7,14.0,71.7,75.3,70.10000000000001
