Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population,location,date,vaccine,total_vaccinations
Portugal,1075639,18048.0,1027424.0,30167.0,105883,1777.0,19023656.0,1872640.0,10158735,Portugal,2021-10-01,Oxford/AstraZeneca,2206409
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Sinopharm/Beijing,2106695
Lithuania,353289,5248.0,317054.0,30987.0,132133,1963.0,5177576.0,1936461.0,2673731,Lithuania,2021-10-01,Pfizer/BioNTech,2092130
Poland,2923304,75869.0,2669688.0,177747.0,77349,2007.0,21291251.0,563355.0,37793676,Poland,2021-10-01,Johnson&Johnson,1999363
Uruguay,390115,6064.0,382736.0,1315.0,111810,1738.0,3659251.0,1048767.0,3489097,Uruguay,2021-10-01,Pfizer/BioNTech,1975498
Netherlands,2026402,18209.0,1950623.0,57570.0,117929,1060.0,17632552.0,1026146.0,17183273,Netherlands,2021-10-01,Moderna,1966697
Spain,4977448,86827.0,4816194.0,74427.0,106406,1856.0,66213858.0,1415494.0,46777901,Spain,2021-10-01,Johnson&Johnson,1963835
Portugal,1075639,18048.0,1027424.0,30167.0,105883,1777.0,19023656.0,1872640.0,10158735,Portugal,2021-10-01,Moderna,1936016
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Sputnik V,1805110
Sweden,1157822,14864.0,1124661.0,18297.0,113739,1460.0,12743845.0,1251898.0,10179622,Sweden,2021-10-01,Moderna,1710041
Austria,762538,11106.0,731698.0,19734.0,84054,1224.0,90613959.0,9988338.0,9071976,Austria,2021-10-01,Oxford/AstraZeneca,1596930
Bulgaria,524333,21813.0,450662.0,51858.0,76193,3170.0,4990220.0,725153.0,6881611,Bulgaria,2021-10-01,Pfizer/BioNTech,1555083
Norway,193734,871.0,88952.0,103911.0,35383,159.0,7969322.0,1455498.0,5475323,Norway,2021-10-01,Moderna,1520464
Italy,4701832,131335.0,4486391.0,84106.0,77912,2176.0,95445947.0,1581585.0,60348285,Italy,2021-10-01,Johnson&Johnson,1477277
Belgium,1266562,25695.0,1181547.0,59320.0,108680,2205.0,20515224.0,1760359.0,11654000,Belgium,2021-10-01,Moderna,1332351
Sweden,1157822,14864.0,1124661.0,18297.0,113739,1460.0,12743845.0,1251898.0,10179622,Sweden,2021-10-01,Oxford/AstraZeneca,1329940
Slovenia,301644,4617.0,285345.0,11682.0,145070,2220.0,1621682.0,779916.0,2079303,Slovenia,2021-10-01,Pfizer/BioNTech,1322494
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Oxford/AstraZeneca,1244840
Ireland,404514,5280.0,360033.0,39201.0,80772,1054.0,7616896.0,1520908.0,5008123,Ireland,2021-10-01,Oxford/AstraZeneca,1189358
Denmark,364464,2671.0,354696.0,7097.0,62642,459.0,84336941.0,14495272.0,5818238,Denmark,2021-10-01,Moderna,1176757
Portugal,1075639,18048.0,1027424.0,30167.0,105883,1777.0,19023656.0,1872640.0,10158735,Portugal,2021-10-01,Johnson&Johnson,1121787
France,7057631,117082.0,6847617.0,92932.0,107819,1789.0,146046715.0,2231155.0,65457901,France,2021-10-01,Johnson&Johnson,1042067
Austria,762538,11106.0,731698.0,19734.0,84054,1224.0,90613959.0,9988338.0,9071976,Austria,2021-10-01,Moderna,1024938
Latvia,172278,2806.0,152102.0,17370.0,92645,1509.0,4559609.0,2452003.0,1859545,Latvia,2021-10-01,Pfizer/BioNTech,999514
Czechia,1700078,30504.0,1659115.0,10459.0,158377,2842.0,38859317.0,3620092.0,10734345,Czechia,2021-10-01,Moderna,921461
